PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
BCL2L11	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bim_r96m5_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L11	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bim_r96m5_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L11	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bim_r96m5_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L11	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bim_r96m5_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L1	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bcl_xS_r96m9_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L1	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bcl_xS_r96m9_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L1	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bcl_xS_r96m9_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L1	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bcl_xS_r96m9_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BCL2L1	controls-state-change-of	CYCS	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__Cytochrome_C-RIGHT__Cytochrome_C-_r26;panther:_INHIBITION___Bcl_xL_r26m3_r26
BCL2L1	controls-transport-of	CYCS	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__Cytochrome_C-RIGHT__Cytochrome_C-_r26;panther:_INHIBITION___Bcl_xL_r26m3_r26
BCL2L2-PABPN1	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2-PABPN1	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2-PABPN1	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2-PABPN1	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BCL2L2	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bcl_w_r95m3_r95
BIRC2	controls-state-change-of	CASP3	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r105;panther:_INHIBITION___c_IAP1,2_r105m1_r105
BIRC2	controls-state-change-of	CASP7	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_7-RIGHT__Caspase_7-_r106;panther:_INHIBITION___c_IAP1,2_r106m1_r106
BIRC2	controls-state-change-of	CASP9	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___c_IAP1,2_r104m3_r104;panther:STATE_TRANSITION_LEFT__Caspase_9-RIGHT__Caspase_9-_r104
BIRC3	controls-state-change-of	CASP3	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r105;panther:_INHIBITION___c_IAP1,2_r105m1_r105
BIRC3	controls-state-change-of	CASP7	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_7-RIGHT__Caspase_7-_r106;panther:_INHIBITION___c_IAP1,2_r106m1_r106
BIRC3	controls-state-change-of	CASP9	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___c_IAP1,2_r104m3_r104;panther:STATE_TRANSITION_LEFT__Caspase_9-RIGHT__Caspase_9-_r104
BOK	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bok_r96m11_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BOK	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bok_r96m11_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BOK	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bok_r96m11_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
BOK	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bok_r96m11_r96;panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96
CASP10	controls-state-change-of	CASP3	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r50;panther:_CATALYSIS___Caspase_10_r90m1_r90;panther:_CATALYSIS___Caspase_10_r50m3_r50;panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r90
CASP10	controls-state-change-of	CASP7	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Caspase_10_r106m3_r106;panther:STATE_TRANSITION_LEFT__Caspase_7-RIGHT__Caspase_7-_r106;panther:STATE_TRANSITION_LEFT__Caspase_7-RIGHT__Caspase_7-_r51;panther:_CATALYSIS___Caspase_10_r51m1_r51
CASP3	controls-state-change-of	EIF2S1	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__ELF2alpha-RIGHT__ELF2alpha-_r117;panther:_CATALYSIS___Caspase_3_r117m3_r117
CASP7	controls-state-change-of	EIF2S1	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Caspase_7_r117m5_r117;panther:STATE_TRANSITION_LEFT__ELF2alpha-RIGHT__ELF2alpha-_r117
CASP8	controls-state-change-of	CASP3	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Caspase_8_r50m1_r50;panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r50;panther:_CATALYSIS___Caspase_8_r90m3_r90;panther:STATE_TRANSITION_LEFT__Caspase_3-RIGHT__Caspase_3-_r90
CASP8	controls-state-change-of	CASP7	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Caspase_8_r51m3_r51;panther:STATE_TRANSITION_LEFT__Caspase_7-RIGHT__Caspase_7-_r51
CFLAR	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r54;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r87;panther:_INHIBITION___Flip_r54m3_r54;panther:_INHIBITION___Flip_r87m1_r87
CFLAR	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___Flip_r86m1_r86;panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r86;panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r53;panther:_INHIBITION___Flip_r53m3_r53
CHUK	controls-phosphorylation-of	NFKBIA	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___IKK_r60m1_r60;panther:STATE_TRANSITION_LEFT__IkappaB-RIGHT__IkappaB-_r60
CHUK	controls-state-change-of	NFKBIA	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___IKK_r60m1_r60;panther:STATE_TRANSITION_LEFT__IkappaB-RIGHT__IkappaB-_r60
CRADD	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r54m1_r54;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r54
CRADD	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r53m1_r53;panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r53
CRADD	controls-state-change-of	MAP3K14	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r22m1_r22;panther:STATE_TRANSITION_LEFT__NIK-RIGHT__NIK-_r22
CRADD	controls-state-change-of	MAP4K2	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__GCK-RIGHT__GCK-_r21;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r21m1_r21
CRADD	controls-state-change-of	MAP4K3	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r55m1_r55;panther:STATE_TRANSITION_LEFT__GCKR-RIGHT__GCKR-_r55
CRADD	controls-state-change-of	MAP4K4	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r55m1_r55;panther:STATE_TRANSITION_LEFT__GCKR-RIGHT__GCKR-_r55
CRADD	controls-state-change-of	PIK3CA	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r19;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r19m1_r19
CRADD	controls-state-change-of	PIK3CB	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r19;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r19m1_r19
CRADD	controls-state-change-of	PIK3CD	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r19;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r19m1_r19
CRADD	controls-state-change-of	PIK3CG	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r19;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r19m1_r19
CRADD	controls-state-change-of	PRKCA	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCB	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCD	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCE	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCG	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCH	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	controls-state-change-of	PRKCQ	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__PKCs-RIGHT__PKCs-_r20;panther:_CATALYSIS___Complex__TRADD_RAIDD__TRAF2_RIP__r20m1_r20
CRADD	in-complex-with	RIPK1	PANTHER		Apoptosis signaling pathway	panther:_Complex__TRADD_RAIDD__TRAF2_RIP__s74_a97_
CRADD	in-complex-with	TRADD	PANTHER		Apoptosis signaling pathway	panther:_Complex__TRADD_RAIDD__TRAF2_RIP__s74_a97_
CRADD	in-complex-with	TRAF2	PANTHER		Apoptosis signaling pathway	panther:_Complex__TRADD_RAIDD__TRAF2_RIP__s74_a97_
CYCS	controls-state-change-of	APAF1	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Apaf_1-RIGHT__Apaf_1-_r101;panther:_CATALYSIS___Cytochrome_C_r101m1_r101
DAXX	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r87;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r87m3_r87
DAXX	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r86;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r86m3_r86
DAXX	in-complex-with	FADD	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_
DAXX	in-complex-with	FASLG	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_
DAXX	in-complex-with	FAS	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_
DAXX	controls-phosphorylation-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
DAXX	controls-state-change-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
DIABLO	controls-state-change-of	BIRC2	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Smac_Diablo_r103m1_r103;panther:STATE_TRANSITION_LEFT__c_IAP1,2-RIGHT__c_IAP1,2-_r103
DIABLO	controls-state-change-of	BIRC3	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Smac_Diablo_r103m1_r103;panther:STATE_TRANSITION_LEFT__c_IAP1,2-RIGHT__c_IAP1,2-_r103
DIABLO	controls-state-change-of	XIAP	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Smac_Diablo_r118m1_r118;panther:STATE_TRANSITION_LEFT__XIAP-RIGHT__XIAP-_r118
EIF2AK2	controls-state-change-of	EIF2S1	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__ELF2alpha-RIGHT__ELF2alpha-_r117;panther:_CATALYSIS___PKR_r117m1_r117
EIF2AK2	controls-state-change-of	TP53	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___PKR_r119m1_r119;panther:STATE_TRANSITION_LEFT__P53-RIGHT__P53-_r119
FADD	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FADD_TRADD__r49m1_r49;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r87;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r87m3_r87;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r49
FADD	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FADD_TRADD__r12m3_r12;panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r86;panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r12;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r86m3_r86
FADD	in-complex-with	FASLG	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_
FADD	in-complex-with	FAS	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_
FADD	controls-phosphorylation-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FADD	controls-state-change-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FADD	in-complex-with	TRADD	PANTHER		Apoptosis signaling pathway	panther:_Complex__FADD_TRADD__s70_a89_
FAS	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r87;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r87m3_r87
FAS	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r86;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r86m3_r86
FAS	in-complex-with	FASLG	PANTHER		Apoptosis signaling pathway	panther:_Complex__FAS_DAXX__FADD_FAS_ligand__s214_a350_;panther:_Complex__FAS_FAS_ligand__s211_a342_
FASLG	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r87;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r87m3_r87
FASLG	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r86;panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r86m3_r86
FASLG	controls-phosphorylation-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FASLG	controls-state-change-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FAS	controls-phosphorylation-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FAS	controls-state-change-of	MAP3K5	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Complex__FAS_DAXX__FADD_FAS_ligand__r83m1_r83;panther:STATE_TRANSITION_LEFT__ASK1-RIGHT__ASK1-_r83
FOS	in-complex-with	JUN	PANTHER		Apoptosis signaling pathway	panther:_Complex__Fos_c_Jun__s123_a149_;panther:_Complex__Fos_c_Jun__s123_a150_
GZMB	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Granzyme_B_r113m1_r113;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r113
GZMB	in-complex-with	IGF2R	PANTHER		Apoptosis signaling pathway	panther:_Complex__IGFR2_Granzyme_B__s193_a301_
GZMH	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Granzyme_B_r113m1_r113;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r113
GZMH	in-complex-with	IGF2R	PANTHER		Apoptosis signaling pathway	panther:_Complex__IGFR2_Granzyme_B__s193_a301_
HSPA1A	controls-state-change-of	AIFM1	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___HSP70_r36m3_r36;panther:TRANSPORT_LEFT__AIF-RIGHT__AIF-_r36
HSPA1A	controls-transport-of	AIFM1	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___HSP70_r36m3_r36;panther:TRANSPORT_LEFT__AIF-RIGHT__AIF-_r36
