PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ANKRD6	in-complex-with	CSNK1G2	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	CSNK1G3	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	CTNNB1	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_
ANKRD6	in-complex-with	FBXW11	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_
ANKRD6	in-complex-with	GSK3B	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2CA	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2CB	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2R5A	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2R5B	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2R5C	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2R5D	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	PPP2R5E	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ARID1A	in-complex-with	BCL9	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	CREBBP	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_
ARID1A	in-complex-with	CTNNB1	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	EP300	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_
ARID1A	in-complex-with	LEF1	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	PYGO1	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	PYGO2	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	SMAD1	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	SMAD4	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	SMAD5	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	TCF7L1	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARID1A	in-complex-with	TCF7L2	PANTHER		Wnt signaling pathway	panther:_Complex__Bcl9_Pygo__Beta_Catenin_SWI__SNF_CBP__TCF_Smad4__s194_a448_;panther:_Complex__Beta_Catenin_TCF__Smad4_Bcl9__Pygo_SWI__SNF__s188_a435_
ARR3	controls-state-change-of	CSNK1A1L	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	controls-state-change-of	CSNK1A1	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	controls-state-change-of	CSNK1D	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	controls-state-change-of	CSNK1E	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	controls-state-change-of	CSNK1G2	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	controls-state-change-of	CSNK1G3	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARR3	in-complex-with	CSNK2A2	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_
ARR3	in-complex-with	CSNK2A3	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_
ARR3	in-complex-with	CSNK2B	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_
ARR3	in-complex-with	DACT1	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s107_a224_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s286_a609_
ARR3	in-complex-with	DVL1	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Beta_Arrestin_Dishevelled__s108_a227_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s107_a224_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s286_a609_
ARR3	in-complex-with	DVL2	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Beta_Arrestin_Dishevelled__s108_a227_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s107_a224_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s286_a609_
ARR3	in-complex-with	DVL3	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Beta_Arrestin_Dishevelled__s108_a227_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s107_a224_;panther:_Complex__Dishevelled_Beta_Arrestin__Frodo__s286_a609_
ARR3	controls-state-change-of	GSK3B	PANTHER		Wnt signaling pathway	panther:_INHIBITION___Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__re69m1_re69;panther:STATE_TRANSITION_LEFT__Glycogen_Synthase_Kinase_3Beta-RIGHT__Glycogen_Synthase_Kinase_3Beta-_re69
ARRB1	controls-state-change-of	CSNK1A1L	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	controls-state-change-of	CSNK1A1	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	controls-state-change-of	CSNK1D	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	controls-state-change-of	CSNK1E	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	controls-state-change-of	CSNK1G2	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	controls-state-change-of	CSNK1G3	PANTHER		Wnt signaling pathway	panther:STATE_TRANSITION_LEFT__Casein_Kinase_1-RIGHT__Casein_Kinase_1-_re65;panther:_INHIBITION___Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__re65m1_re65
ARRB1	in-complex-with	CSNK2A2	PANTHER		Wnt signaling pathway	panther:_Complex__Dishevelled_Beta_Arrestin__Frodo_Casein_Kinase_2__s288_a612_;panther:_Complex__Dishevelled_Casein_Kinase_2__Beta_Arrestin_Frodo__FRAT__s292_a616_
