From	Entry	Reviewed	Entry Name
CELSR1	Q9NYQ6	reviewed	CELR1_HUMAN
CELSR2	Q9HCU4	reviewed	CELR2_HUMAN
CELSR3	Q9NYQ7	reviewed	CELR3_HUMAN
CER1	O95813	reviewed	CER1_HUMAN
CHD1L	Q86WJ1	reviewed	CHD1L_HUMAN
CREBBP	Q92793	reviewed	CBP_HUMAN
CSNK1A1	P48729	reviewed	KC1A_HUMAN
CSNK1A1L	Q8N752	reviewed	KC1AL_HUMAN
CSNK1D	P48730	reviewed	KC1D_HUMAN
CSNK1E	P49674	reviewed	KC1E_HUMAN
CSNK1G2	P78368	reviewed	KC1G2_HUMAN
CSNK1G3	Q9Y6M4	reviewed	KC1G3_HUMAN
CSNK2A2	P19784	reviewed	CSK22_HUMAN
CSNK2A3	Q8NEV1	reviewed	CSK23_HUMAN
CSNK2B	P67870	reviewed	CSK2B_HUMAN
CTBP1	Q13363	reviewed	CTBP1_HUMAN
CTBP2	P56545	reviewed	CTBP2_HUMAN
CTNNA1	P35221	reviewed	CTNA1_HUMAN
CTNNA2	P26232	reviewed	CTNA2_HUMAN
CTNNA3	Q9UI47	reviewed	CTNA3_HUMAN
CTNNAL1	Q9UBT7	reviewed	CTNL1_HUMAN
CTNNB1	P35222	reviewed	CTNB1_HUMAN
DACT1	Q9NYF0	reviewed	DACT1_HUMAN
DVL1	O14640	reviewed	DVL1_HUMAN
DVL1	P54792	reviewed	DVLP1_HUMAN
DVL2	O14641	reviewed	DVL2_HUMAN
DVL3	Q92997	reviewed	DVL3_HUMAN
EP300	Q09472	reviewed	EP300_HUMAN
EP400	Q96L91	reviewed	EP400_HUMAN
FBXW11	Q9UKB1	reviewed	FBW1B_HUMAN
FRZB	Q92765	reviewed	SFRP3_HUMAN
FSTL1	Q12841	reviewed	FSTL1_HUMAN
FZD10	Q9ULW2	reviewed	FZD10_HUMAN
FZD1	Q9UP38	reviewed	FZD1_HUMAN
FZD2	Q14332	reviewed	FZD2_HUMAN
FZD3	O00144	reviewed	FZD9_HUMAN
FZD3	Q9NPG1	reviewed	FZD3_HUMAN
FZD4	Q9ULV1	reviewed	FZD4_HUMAN
FZD5	Q13467	reviewed	FZD5_HUMAN
FZD6	O60353	reviewed	FZD6_HUMAN
FZD7	O75084	reviewed	FZD7_HUMAN
FZD8	Q9H461	reviewed	FZD8_HUMAN
FZD9	O00144	reviewed	FZD9_HUMAN
GNA11	P29992	reviewed	GNA11_HUMAN
GNA14	O95837	reviewed	GNA14_HUMAN
GNA15	P30679	reviewed	GNA15_HUMAN
GNAQ	P50148	reviewed	GNAQ_HUMAN
GNB1	P62873	reviewed	GBB1_HUMAN
GNB2	P62879	reviewed	GBB2_HUMAN
GNB3	P16520	reviewed	GBB3_HUMAN
GNB4	Q9HAV0	reviewed	GBB4_HUMAN
GSK3B	P49841	reviewed	GSK3B_HUMAN
HDAC1	Q13547	reviewed	HDAC1_HUMAN
HDAC2	Q92769	reviewed	HDAC2_HUMAN
HDAC3	O15379	reviewed	HDAC3_HUMAN
HDAC8	Q9BY41	reviewed	HDAC8_HUMAN
HELLS	Q9NRZ9	reviewed	HELLS_HUMAN
HLTF	Q14527	reviewed	HLTF_HUMAN
INO80	Q9ULG1	reviewed	INO80_HUMAN
ITPR1	Q14643	reviewed	ITPR1_HUMAN
ITPR2	Q14571	reviewed	ITPR2_HUMAN
ITPR3	Q14573	reviewed	ITPR3_HUMAN
LEF1	Q9UJU2	reviewed	LEF1_HUMAN
LRP5	O75197	reviewed	LRP5_HUMAN
LRP6	O75581	reviewed	LRP6_HUMAN
MAP3K7CL	P57077	reviewed	M3KCL_HUMAN
MAP3K7	O43318	reviewed	M3K7_HUMAN
NKD1	Q969G9	reviewed	NKD1_HUMAN
NKD2	Q969F2	reviewed	NKD2_HUMAN
NLK	Q9UBE8	reviewed	NLK_HUMAN
PLCB1	Q9NQ66	reviewed	PLCB1_HUMAN
PLCB2	Q00722	reviewed	PLCB2_HUMAN
PLCB3	Q01970	reviewed	PLCB3_HUMAN
PLCB4	Q15147	reviewed	PLCB4_HUMAN
PPP2CA	P67775	reviewed	PP2AA_HUMAN
PPP2CB	P62714	reviewed	PP2AB_HUMAN
PPP2R5A	Q15172	reviewed	2A5A_HUMAN
PPP2R5B	Q15173	reviewed	2A5B_HUMAN
PPP2R5C	Q13362	reviewed	2A5G_HUMAN
PPP2R5D	Q14738	reviewed	2A5D_HUMAN
PPP2R5E	Q16537	reviewed	2A5E_HUMAN
PPP3CA	Q08209	reviewed	PP2BA_HUMAN
PPP3CB	P16298	reviewed	PP2BB_HUMAN
PPP3CC	P48454	reviewed	PP2BC_HUMAN
PPP3R1	P63098	reviewed	CANB1_HUMAN
PPP3R2	Q96LZ3	reviewed	CANB2_HUMAN
PYGO1	Q9Y3Y4	reviewed	PYGO1_HUMAN
PYGO2	Q9BRQ0	reviewed	PYGO2_HUMAN
SAG	P10523	reviewed	ARRS_HUMAN
SAG	Q9UBF6	reviewed	RBX2_HUMAN
SFRP1	Q8N474	reviewed	SFRP1_HUMAN
SFRP2	Q96HF1	reviewed	SFRP2_HUMAN
SFRP4	Q6FHJ7	reviewed	SFRP4_HUMAN
SFRP5	Q5T4F7	reviewed	SFRP5_HUMAN
SIAH1	Q8IUQ4	reviewed	SIAH1_HUMAN
SIAH2	O43255	reviewed	SIAH2_HUMAN
SMAD1	Q15797	reviewed	SMAD1_HUMAN
SMAD4	Q13485	reviewed	SMAD4_HUMAN
SMAD5	Q99717	reviewed	SMAD5_HUMAN
SMARCA1	P28370	reviewed	SMCA1_HUMAN
SMARCA2	P51531	reviewed	SMCA2_HUMAN
SMARCA4	P51532	reviewed	SMCA4_HUMAN
SMARCA5	O60264	reviewed	SMCA5_HUMAN
SMARCAL1	Q9NZC9	reviewed	SMAL1_HUMAN
SMARCB1	Q12824	reviewed	SNF5_HUMAN
SMARCC1	Q92922	reviewed	SMRC1_HUMAN
SMARCC2	Q8TAQ2	reviewed	SMRC2_HUMAN
SMARCD1	Q96GM5	reviewed	SMRD1_HUMAN
SMARCD2	Q92925	reviewed	SMRD2_HUMAN
SMARCD3	Q6STE5	reviewed	SMRD3_HUMAN
SMARCE1	Q969G3	reviewed	SMCE1_HUMAN
SRCAP	Q6ZRS2	reviewed	SRCAP_HUMAN
TGFBR1	P36897	reviewed	TGFR1_HUMAN
TLE1	Q04724	reviewed	TLE1_HUMAN
TLE2	Q04725	reviewed	TLE2_HUMAN
TLE3	Q04726	reviewed	TLE3_HUMAN
TLE4	Q04727	reviewed	TLE4_HUMAN
TLE6	Q9H808	reviewed	TLE6_HUMAN
WNT10A	Q9GZT5	reviewed	WN10A_HUMAN
WNT10B	O00744	reviewed	WN10B_HUMAN
WNT11	O96014	reviewed	WNT11_HUMAN
WNT16	Q9UBV4	reviewed	WNT16_HUMAN
WNT1	P04628	reviewed	WNT1_HUMAN
WNT2	P09544	reviewed	WNT2_HUMAN
WNT2B	Q93097	reviewed	WNT2B_HUMAN
WNT3A	P56704	reviewed	WNT3A_HUMAN
WNT3	P56703	reviewed	WNT3_HUMAN
WNT4	P56705	reviewed	WNT4_HUMAN
WNT5A	P41221	reviewed	WNT5A_HUMAN
WNT5B	Q9H1J7	reviewed	WNT5B_HUMAN
WNT6	Q9Y6F9	reviewed	WNT6_HUMAN
WNT7A	O00755	reviewed	WNT7A_HUMAN
WNT7B	P56706	reviewed	WNT7B_HUMAN
WNT8A	Q9H1J5	reviewed	WNT8A_HUMAN
WNT8B	Q93098	reviewed	WNT8B_HUMAN
WNT9A	O14904	reviewed	WNT9A_HUMAN
WNT9B	O14905	reviewed	WNT9B_HUMAN
TCF7L1	Q9HCS4	reviewed	TF7L1_HUMAN
TCF7L2	Q9NQB0	reviewed	TF7L2_HUMAN
TBL1XR1	Q9BZK7	reviewed	TBL1R_HUMAN
TBL1X	O60907	reviewed	TBL1X_HUMAN
TBL1Y	Q9BQ87	reviewed	TBL1Y_HUMAN
DCHS1	Q96JQ0	reviewed	PCD16_HUMAN
FAT1	Q14517	reviewed	FAT1_HUMAN
FAT2	Q9NYQ8	reviewed	FAT2_HUMAN
FAT3	Q8TDW7	reviewed	FAT3_HUMAN
PCDH10	Q9P2E7	reviewed	PCD10_HUMAN
PCDH11X	Q9BZA7	reviewed	PC11X_HUMAN
PCDH11Y	Q9BZA8	reviewed	PC11Y_HUMAN
PCDH12	Q9NPG4	reviewed	PCD12_HUMAN
PCDH15	Q96QU1	reviewed	PCD15_HUMAN
PCDH18	Q9HCL0	reviewed	PCD18_HUMAN
PCDH19	Q8TAB3	reviewed	PCD19_HUMAN
PCDH1	Q08174	reviewed	PCDH1_HUMAN
PCDH20	Q8N6Y1	reviewed	PCD20_HUMAN
PCDH7	O60245	reviewed	PCDH7_HUMAN
PCDH8	O95206	reviewed	PCDH8_HUMAN
PCDH9	Q9HC56	reviewed	PCDH9_HUMAN
PCDHA10	Q9Y5I2	reviewed	PCDAA_HUMAN
PCDHA11	Q9Y5I1	reviewed	PCDAB_HUMAN
PCDHA12	Q9UN75	reviewed	PCDAC_HUMAN
PCDHA13	Q9Y5I0	reviewed	PCDAD_HUMAN
PCDHA1	Q9Y5I3	reviewed	PCDA1_HUMAN
PCDHA2	Q9Y5H9	reviewed	PCDA2_HUMAN
PCDHA3	Q9Y5H8	reviewed	PCDA3_HUMAN
PCDHA4	Q9UN74	reviewed	PCDA4_HUMAN
PCDHA5	Q9Y5H7	reviewed	PCDA5_HUMAN
PCDHA6	Q9UN73	reviewed	PCDA6_HUMAN
PCDHA7	Q9UN72	reviewed	PCDA7_HUMAN
PCDHA8	Q9Y5H6	reviewed	PCDA8_HUMAN
PCDHA9	Q9Y5H5	reviewed	PCDA9_HUMAN
PCDHAC1	Q9H158	reviewed	PCDC1_HUMAN
PCDHAC2	Q9Y5I4	reviewed	PCDC2_HUMAN
PCDHB10	Q9UN67	reviewed	PCDBA_HUMAN
PCDHB11	Q9Y5F2	reviewed	PCDBB_HUMAN
PCDHB12	Q9Y5F1	reviewed	PCDBC_HUMAN
PCDHB13	Q9Y5F0	reviewed	PCDBD_HUMAN
PCDHB14	Q9Y5E9	reviewed	PCDBE_HUMAN
PCDHB15	Q9Y5E8	reviewed	PCDBF_HUMAN
PCDHB16	Q9NRJ7	reviewed	PCDBG_HUMAN
PCDHB1	Q9Y5F3	reviewed	PCDB1_HUMAN
PCDHB2	Q9Y5E7	reviewed	PCDB2_HUMAN
PCDHB3	Q9Y5E6	reviewed	PCDB3_HUMAN
PCDHB4	Q9Y5E5	reviewed	PCDB4_HUMAN
PCDHB5	Q9Y5E4	reviewed	PCDB5_HUMAN
PCDHB6	Q9Y5E3	reviewed	PCDB6_HUMAN
PCDHB7	Q9Y5E2	reviewed	PCDB7_HUMAN
PCDHB8	Q9UN66	reviewed	PCDB8_HUMAN
PCDHGA10	Q9Y5H3	reviewed	PCDGA_HUMAN
PCDHGA11	Q9Y5H2	reviewed	PCDGB_HUMAN
PCDHGA12	O60330	reviewed	PCDGC_HUMAN
PCDHGA1	Q9Y5H4	reviewed	PCDG1_HUMAN
PCDHGA2	Q9Y5H1	reviewed	PCDG2_HUMAN
PCDHGA3	Q9Y5H0	reviewed	PCDG3_HUMAN
PCDHGA5	Q9Y5G8	reviewed	PCDG5_HUMAN
PCDHGA6	Q9Y5G7	reviewed	PCDG6_HUMAN
PCDHGA7	Q9Y5G6	reviewed	PCDG7_HUMAN
PCDHGA8	Q9Y5G5	reviewed	PCDG8_HUMAN
PCDHGB1	Q9Y5G3	reviewed	PCDGD_HUMAN
PCDHGB2	Q9Y5G2	reviewed	PCDGE_HUMAN
PCDHGB4	Q9UN71	reviewed	PCDGG_HUMAN
PCDHGB6	Q9Y5F9	reviewed	PCDGI_HUMAN
PCDHGB7	Q9Y5F8	reviewed	PCDGJ_HUMAN
PCDHGC3	Q9UN70	reviewed	PCDGK_HUMAN
PCDHGC4	Q9Y5F7	reviewed	PCDGL_HUMAN
PCDHGC5	Q9Y5F6	reviewed	PCDGM_HUMAN
GNG10	P50151	reviewed	GBG10_HUMAN
GNG12	Q9UBI6	reviewed	GBG12_HUMAN
GNG13	Q9P2W3	reviewed	GBG13_HUMAN
GNG2	P59768	reviewed	GBG2_HUMAN
GNG3	P63215	reviewed	GBG3_HUMAN
GNG4	P50150	reviewed	GBG4_HUMAN
GNG5	P63218	reviewed	GBG5_HUMAN
GNG7	O60262	reviewed	GBG7_HUMAN
GNG8	O14610	reviewed	GBGT2_HUMAN
GNG8	Q9UK08	reviewed	GBG8_HUMAN
PRKCA	P17252	reviewed	KPCA_HUMAN
PRKCB	P05771	reviewed	KPCB_HUMAN
PRKCD	Q05655	reviewed	KPCD_HUMAN
PRKCE	Q02156	reviewed	KPCE_HUMAN
PRKCG	P05129	reviewed	KPCG_HUMAN
PRKCH	C0HM02	reviewed	PKHUO_HUMAN
PRKCH	P24723	reviewed	KPCL_HUMAN
PRKCI	P41743	reviewed	KPCI_HUMAN
PRKCQ	Q04759	reviewed	KPCT_HUMAN
PRKCZ	Q05513	reviewed	KPCZ_HUMAN
NFATC1	O95644	reviewed	NFAC1_HUMAN
NFATC2	Q13469	reviewed	NFAC2_HUMAN
NFATC3	Q12968	reviewed	NFAC3_HUMAN
NFATC4	Q14934	reviewed	NFAC4_HUMAN
