PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
GNG2	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG2	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG3	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG3	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG4	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG4	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG5	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG5	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG7	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG7	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG8	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG8	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNGT2	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNGT2	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
chebi:30616	consumption-controlled-by	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__ATP-RIGHT__cAMP-_re9;panther:_CATALYSIS___AC_re9m1_re9_04f6a6dd0499c247b270b3d7ad14f85e
chebi:30616	consumption-controlled-by	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__ATP-RIGHT__cAMP-_re9;panther:_CATALYSIS___AC_re9m1_re9_04f6a6dd0499c247b270b3d7ad14f85e
chebi:30616	used-to-produce	chebi:17489	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__ATP-RIGHT__cAMP-_re9
chebi:33568	chemical-affects	ADRB3	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__Beta3_NE__s39_a54_
chebi:33568	chemical-affects	GNAL	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNB1	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNB2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNB3	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNB4	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNB5	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG10	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG12	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG3	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG4	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG5	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNG8	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:33568	chemical-affects	GNGT2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_
chebi:37565	chemical-affects	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
chebi:37565	chemical-affects	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
